N_max,P_mem,OITR,P_acc,P_pool,P_upsamp,P_yolo,BRAM_sys,DSP_sys,Latency_network
16,4,2,4,2,4,2,109,97,946.764072
16,4,2,4,2,4,4,109,109,946.764072
16,4,3,2,1,4,1,108,89,947.629352
16,4,3,2,1,4,2,108,95,947.629352
16,4,3,2,1,4,4,108,107,947.629352
16,4,3,2,2,4,1,108,89,946.764072
16,4,3,2,2,4,2,108,95,946.764072
16,4,3,2,2,4,4,108,107,946.764072
16,4,3,4,1,4,1,109,91,947.629352
16,4,3,4,1,4,2,109,97,947.629352
16,4,3,4,1,4,4,109,109,947.629352
16,4,3,4,2,4,1,109,91,946.764072
16,4,3,4,2,4,2,109,97,946.764072
16,4,3,4,2,4,4,109,109,946.764072
16,4,4,2,1,4,1,108,89,932.370606
16,4,4,2,1,4,2,108,95,932.370606
16,4,4,2,1,4,4,108,107,932.370606
16,4,4,2,2,4,1,108,89,931.505326
16,4,4,2,2,4,2,108,95,931.505326
16,4,4,2,2,4,4,108,107,931.505326
16,4,4,4,1,4,1,109,91,932.370606
16,4,4,4,1,4,2,109,97,932.370606
16,4,4,4,1,4,4,109,109,932.370606
16,4,4,4,2,4,1,109,91,931.505326
16,4,4,4,2,4,2,109,97,931.505326
16,4,4,4,2,4,4,109,109,931.505326
16,8,1,2,1,4,1,144,116,1215.895422
16,8,1,2,1,4,2,144,122,1215.895422
16,8,1,2,1,4,4,144,134,1215.895422
16,8,1,2,2,4,1,144,116,1215.030142
16,8,1,2,2,4,2,144,122,1215.030142
16,8,1,2,2,4,4,144,134,1215.030142
16,8,1,4,1,4,1,145,118,1215.895422
16,8,1,4,1,4,2,145,124,1215.895422
16,8,1,4,1,4,4,145,136,1215.895422
16,8,1,4,2,4,1,145,118,1215.030142
16,8,1,4,2,4,2,145,124,1215.030142
16,8,1,4,2,4,4,145,136,1215.030142
16,8,2,2,1,4,1,144,116,777.851512
16,8,2,2,1,4,2,144,122,777.851512
16,8,2,2,1,4,4,144,134,777.851512
16,8,2,2,2,4,1,144,116,776.986232
16,8,2,2,2,4,2,144,122,776.986232
16,8,2,2,2,4,4,144,134,776.986232
16,8,2,4,1,4,1,145,118,777.851512
16,8,2,4,1,4,2,145,124,777.851512
16,8,2,4,1,4,4,145,136,777.851512
16,8,2,4,2,4,1,145,118,776.986232
16,8,2,4,2,4,2,145,124,776.986232
16,8,2,4,2,4,4,145,136,776.986232
16,8,3,2,1,4,1,144,116,777.851512
16,8,3,2,1,4,2,144,122,777.851512
16,8,3,2,1,4,4,144,134,777.851512
16,8,3,2,2,4,1,144,116,776.986232
16,8,3,2,2,4,2,144,122,776.986232
16,8,3,2,2,4,4,144,134,776.986232
16,8,3,4,1,4,1,145,118,777.851512
16,8,3,4,1,4,2,145,124,777.851512
16,8,3,4,1,4,4,145,136,777.851512
16,8,3,4,2,4,1,145,118,776.986232
16,8,3,4,2,4,2,145,124,776.986232
16,8,3,4,2,4,4,145,136,776.986232
16,8,4,2,1,4,1,144,116,766.095606
16,8,4,2,1,4,2,144,122,766.095606
16,8,4,2,1,4,4,144,134,766.095606
16,8,4,2,2,4,1,144,116,765.230326
16,8,4,2,2,4,2,144,122,765.230326
16,8,4,2,2,4,4,144,134,765.230326
16,8,4,4,1,4,1,145,118,766.095606
16,8,4,4,1,4,2,145,124,766.095606
16,8,4,4,1,4,4,145,136,766.095606
16,8,4,4,2,4,1,145,118,765.230326
16,8,4,4,2,4,2,145,124,765.230326
16,8,4,4,2,4,4,145,136,765.230326
32,1,1,2,1,4,1,121,35,4698.310061
32,1,1,2,1,4,2,121,41,4698.310061
32,1,1,2,1,4,4,121,53,4698.310061
32,1,1,2,2,4,1,121,35,4697.444781
32,1,1,2,2,4,2,121,41,4697.444781
32,1,1,2,2,4,4,121,53,4697.444781
32,1,1,4,1,4,1,122,37,4698.310061
32,1,1,4,1,4,2,122,43,4698.310061
32,1,1,4,1,4,4,122,55,4698.310061
32,1,1,4,2,4,1,122,37,4697.444781
32,1,1,4,2,4,2,122,43,4697.444781
32,1,1,4,2,4,4,122,55,4697.444781
32,1,2,2,1,4,1,121,35,2972.331088
32,1,2,2,1,4,2,121,41,2972.331088
32,1,2,2,1,4,4,121,53,2972.331088
32,1,2,2,2,4,1,121,35,2971.465808
32,1,2,2,2,4,2,121,41,2971.465808
32,1,2,2,2,4,4,121,53,2971.465808
32,1,2,4,1,4,1,122,37,2972.331088
32,1,2,4,1,4,2,122,43,2972.331088
32,1,2,4,1,4,4,122,55,2972.331088
32,1,2,4,2,4,1,122,37,2971.465808
32,1,2,4,2,4,2,122,43,2971.465808
32,1,2,4,2,4,4,122,55,2971.465808
32,1,3,2,1,4,1,121,35,2972.331088
32,1,3,2,1,4,2,121,41,2972.331088
32,1,3,2,1,4,4,121,53,2972.331088
32,1,3,2,2,4,1,121,35,2971.465808
32,1,3,2,2,4,2,121,41,2971.465808
32,1,3,2,2,4,4,121,53,2971.465808
32,1,3,4,1,4,1,122,37,2972.331088
32,1,3,4,1,4,2,122,43,2972.331088
32,1,3,4,1,4,4,122,55,2972.331088
32,1,3,4,2,4,1,122,37,2971.465808
32,1,3,4,2,4,2,122,43,2971.465808
32,1,3,4,2,4,4,122,55,2971.465808
32,1,4,2,1,4,1,121,35,2858.992822
32,1,4,2,1,4,2,121,41,2858.992822
32,1,4,2,1,4,4,121,53,2858.992822
32,1,4,2,2,4,1,121,35,2858.127542
32,1,4,2,2,4,2,121,41,2858.127542
32,1,4,2,2,4,4,121,53,2858.127542
32,1,4,4,1,4,1,122,37,2858.992822
32,1,4,4,1,4,2,122,43,2858.992822
32,1,4,4,1,4,4,122,55,2858.992822
32,1,4,4,2,4,1,122,37,2858.127542
32,1,4,4,2,4,2,122,43,2858.127542
32,1,4,4,2,4,4,122,55,2858.127542
32,2,1,2,1,4,1,130,53,2457.959341
32,2,1,2,1,4,2,130,59,2457.959341
32,2,1,2,1,4,4,130,71,2457.959341
32,2,1,2,2,4,1,130,53,2457.094061
32,2,1,2,2,4,2,130,59,2457.094061
32,2,1,2,2,4,4,130,71,2457.094061
32,2,1,4,1,4,1,131,55,2457.959341
32,2,1,4,1,4,2,131,61,2457.959341
32,2,1,4,1,4,4,131,73,2457.959341
32,2,1,4,2,4,1,131,55,2457.094061
32,2,1,4,2,4,2,131,61,2457.094061
32,2,1,4,2,4,4,131,73,2457.094061
32,2,2,2,1,4,1,130,53,1558.062928
32,2,2,2,1,4,2,130,59,1558.062928
32,2,2,2,1,4,4,130,71,1558.062928
32,2,2,2,2,4,1,130,53,1557.197648
32,2,2,2,2,4,2,130,59,1557.197648
32,2,2,2,2,4,4,130,71,1557.197648
32,2,2,4,1,4,1,131,55,1558.062928
32,2,2,4,1,4,2,131,61,1558.062928
32,2,2,4,1,4,4,131,73,1558.062928
32,2,2,4,2,4,1,131,55,1557.197648
32,2,2,4,2,4,2,131,61,1557.197648
32,2,2,4,2,4,4,131,73,1557.197648
32,2,3,2,1,4,1,130,53,1558.062928
32,2,3,2,1,4,2,130,59,1558.062928
32,2,3,2,1,4,4,130,71,1558.062928
32,2,3,2,2,4,1,130,53,1557.197648
32,2,3,2,2,4,2,130,59,1557.197648
32,2,3,2,2,4,4,130,71,1557.197648
32,2,3,4,1,4,1,131,55,1558.062928
32,2,3,4,1,4,2,131,61,1558.062928
32,2,3,4,1,4,4,131,73,1558.062928
32,2,3,4,2,4,1,131,55,1557.197648
32,2,3,4,2,4,2,131,61,1557.197648
32,2,3,4,2,4,4,131,73,1557.197648
32,2,4,2,1,4,1,130,53,1500.770102
32,2,4,2,1,4,2,130,59,1500.770102
32,2,4,2,1,4,4,130,71,1500.770102
32,2,4,2,2,4,1,130,53,1499.904822
32,2,4,2,2,4,2,130,59,1499.904822
32,2,4,2,2,4,4,130,71,1499.904822
32,2,4,4,1,4,1,131,55,1500.770102
32,2,4,4,1,4,2,131,61,1500.770102
32,2,4,4,1,4,4,131,73,1500.770102
32,2,4,4,2,4,1,131,55,1499.904822
32,2,4,4,2,4,2,131,61,1499.904822
32,2,4,4,2,4,4,131,73,1499.904822
32,4,1,2,1,4,1,148,89,1337.783981
32,4,1,2,1,4,2,148,95,1337.783981
32,4,1,2,1,4,4,148,107,1337.783981
32,4,1,2,2,4,1,148,89,1336.918701
32,4,1,2,2,4,2,148,95,1336.918701
32,4,1,2,2,4,4,148,107,1336.918701
32,4,1,4,1,4,1,149,91,1337.783981
32,4,1,4,1,4,2,149,97,1337.783981
